Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
Public Abstract Generic Class,"org.apache.hadoop.hive.ql.exec.Task",5,0,4,1,1,3,35,21,0,,1,11,,,,83,26,84,96,1,1,8,74,,601,99,409,147,172,94,,160,281,139,151,,5,1,3,97,96,0.23,113,,,,
Public Enum Type,"org.apache.hadoop.hive.ql.exec.Task.FeedType",0,0,0,0,0,1,1,0,0,,0,0,,,,2,1,2,28,0,0,0,2,,3,0,3,2,0,1,,0,1,1,0,,0,1,0,,,0.33,0,,,,
Public Implicit Method,"org.apache.hadoop.hive.ql.exec.Task.FeedType.valueOf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,
Public Implicit Method,"org.apache.hadoop.hive.ql.exec.Task.FeedType.values",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,
Generic Parameter,"org.apache.hadoop.hive.ql.exec.Task.T",0,0,0,0,0,1,1,0,0,,0,0,,,,0,0,0,,0,0,0,0,,,,,,,,,,,,,,0,1,0,0,0,,0,,,,
Public Constructor,"org.apache.hadoop.hive.ql.exec.Task.Task",,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,4,2,3,1,2,1,,,0,,,0.00,1,,,,
Public Enum Type,"org.apache.hadoop.hive.ql.exec.Task.TaskState",0,0,0,0,0,1,1,0,0,,0,0,,,,2,6,2,28,0,0,0,2,,14,0,8,7,0,6,,0,1,1,0,,0,1,0,,,0.75,0,,,,
Public Implicit Method,"org.apache.hadoop.hive.ql.exec.Task.TaskState.valueOf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,
Public Implicit Method,"org.apache.hadoop.hive.ql.exec.Task.TaskState.values",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,
Public Method,"org.apache.hadoop.hive.ql.exec.Task.addDependentTask",,,,,,,,,,,,,,,,,,,,,,,,1,23,0,17,2,11,6,8,7,12,2,10,5,,,2,,,0.35,5,,,,
Private Method,"org.apache.hadoop.hive.ql.exec.Task.ancestorOrSelf",,,,,,,,,,,,,,,,,,,,,,,,2,14,0,14,2,8,0,2,4,10,3,8,5,,,3,,,0.00,5,,,,
Protected Method,"org.apache.hadoop.hive.ql.exec.Task.cloneConf",,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,1,3,0,2,2,4,1,3,2,,,1,,,0.00,2,,,,
Public Method,"org.apache.hadoop.hive.ql.exec.Task.done",,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,2,1,1,1,,,0,,,0.00,1,,,,
